상품명,규격,단위수량,표준바코드,본사바코드,대표바코드,물류바코드,상품구분,제품설명
보성테이핑발목보호대(M),1EA,1,8809072983745,,,,비의약품,-
보성테이핑발목보호대(S),1EA,1,8809072983738,,,,비의약품,-
보성테이핑무릎보호대(M),1EA,1,8809072983684,,,,비의약품,-
보성테이핑무릎보호대(S),1EA,1,8809072983677,,,,비의약품,-
보성테이핑무릎보호대(L),1EA,1,8809072983691,,,,비의약품,-
금칫솔,1EA,1,8809003419978,,,,비의약품,-
프로센골드연질캡슐,10c,1,8806498066618,,,,일반의약품,두통 치통 관절염 효과적인 소염진통제
황사마스크더스논,4매,1,8806011635710,,,,비의약품,-
장용락,60p*10EA,1,8806029211845,,,,건강기능식품,100억 생 유산균
프렌즈아이엔젤마일드점안액(촉촉한마일드),30EA,3,8806449137435,,,,일반의약품,"가려움,충혈이 있을 때 1회용 안약"
블랑시크릿베이비치약(사과),80ml,1,8809294551142,,,,비의약품,-
블랑시크릿베이비치약(블루베리),80ml,1,8809294551159,,,,비의약품,-
블랑시크릿베이비치약(딸기),80ml,1,8809294551128,,,,비의약품,-
블랑시크릿베이비치약(라즈베리),80ml,1,8809294551135,,,,비의약품,-
블랑시크릿더블브라이트닝케어치약,200g,1,8809294551166,,,,비의약품,-
블랑시크릿시린케어치약,200g,1,8809294551173,,,,비의약품,-
블랑시크릿잇몸케어치약,200g,1,8809294551180,,,,비의약품,-
블랑시크릿프라그케어치약,200g,1,8809294551197,,,,비의약품,-
게리송9컴플렉스크림,45ml,1,8809294557168,,,,비의약품,-
클라우드엑스스팟연고,15ml,1,8809294557083,,,,비의약품,-
클라우드엑스화이트닝크림,30ml,1,8809294557120,,,,비의약품,-
우르오스스칼프샴푸(대),500ml,1,4987035520214,,,,비의약품,-
컨투세엑스과립,3g,1,8806627002418,,,,일반의약품,"한방 타박상,멍,통증"
바이맥스프로폴리스,10c,1,8809159467281,,,,건강기능식품,-
제이에이치서포트,7.5cm*4.5m,1,6945347810759,,,,비의약품,-
제이에이치서포트,2.5cm*4.5m,1,6945347810254,,,,비의약품,-
덴티나인캡슐,120c*2EA,1,38806424001912,,,,일반의약품,"효과좋은 잇몸영양제
이가탄 동일 제품(80일)"
닥터덴트민트치실,50m,1,8809167445097,,,,비의약품,-
닥터덴트왁스치실,50m,1,8809167445103,,,,비의약품,-
키티꼬꼬마멀티비타민,18T,1,8809042043684,,,,건강기능식품,맛있는 멀티비타민
토픽지트로키,12T,1,8806647002320,,,,일반의약품,녹여먹는 기침가래 인후염약
챕스틱맨케어,1EA,1,8806101462127,,,,비의약품,-
하이아이프레쉬인공눈물,1.0ml*30EA,1,8806706064320,,,,일반의약품,"수분 부족에 의한 안구건조증
눈물 점도↑,각막 머무는 시간↑"
MSM플러스,120T,1,8809148002035,,,,건강기능식품,-
바이오캡키즈유산균,30p*2EA,2,8809148002622,,,,건강기능식품,-
황화씨환,180g,1,8809149901412,,,,비의약품,-
그날엔큐삼중정,10T,1,8806481027619,,,,일반의약품,-
